entry,year,tobacco_prod
HR,2009,13348
HR,2008,12866
HR,2007,12639
HR,2006,10851
HR,2005,9579
HR,2004,10293
HR,2003,9680
HR,2002,10905
HR,2001,10502
HR,2000,9714
HR,1999,10051
HR,1998,12133
HR,1997,11339
HR,1996,11272
HR,1995,8548
HR,1994,8613
HR,1993,9585
HR,1992,11651
CU,2016,19700
CU,2015,24500
CU,2014,19800
CU,2013,24e3
CU,2012,19500
CU,2011,19900
CU,2010,20500
CU,2009,25200
CU,2008,21500
CU,2007,25600
CU,2006,29700
CU,2005,26e3
CU,2004,31700
CU,2003,25600
CU,2002,34494
CU,2001,31751
CU,2000,32237
CU,1999,30562
CU,1998,37870
CU,1997,30938
CU,1996,31485
CU,1995,24989
CU,1994,17084
CU,1993,19892
CU,1992,24636
CU,1991,29865
CU,1990,37129
CU,1989,41606
CU,1988,39414
CU,1987,38790
CU,1986,45604
CU,1985,44637
CU,1984,44642
CU,1983,30180
CU,1982,44947
CU,1981,54599
CU,1980,8219
CU,1979,32206
CU,1978,41021
CU,1977,43290
CU,1976,51621
CU,1975,42337
CU,1974,44685
CU,1973,43548
CU,1972,39551
CU,1971,24757
CU,1970,31726
CU,1969,36271
CU,1968,46414
CU,1967,45296
CU,1966,51787
CU,1965,35107
CU,1964,43783
CU,1963,48056
CU,1962,51534
CU,1961,49639
CY,2016,120
CY,2015,121
CY,2014,122
CY,2013,123
CY,2012,131
CY,2011,149
CY,2010,104
CY,2009,43
CY,2008,50
CY,2007,300
CY,2006,350
CY,2005,350
CY,2004,350
CY,2003,350
CY,2002,357
CY,2001,357
CY,2000,374
CY,1999,333
CY,1998,305
CY,1997,322
CY,1996,336
CY,1995,331
